account,debit,credit,description
11210000,1500000,,Нээлтийн үлдэгдэл — касс
11000001,42300000,,Нээлтийн үлдэгдэл — Хаан банк
13110000,8700000,,Нээлтийн үлдэгдэл — авлага (харилцагч тус бүр АР нэхэмжлэхээр)
14110000,12400000,,Нээлтийн үлдэгдэл — бараа материал
21010000,31200000,,Нээлтийн үлдэгдэл — үндсэн хөрөнгө
20000002,,6100000,Нээлтийн үлдэгдэл — хуримтлагдсан элэгдэл
31000001,,9300000,Нээлтийн үлдэгдэл — өглөг (харилцагч тус бүр АП нэхэмжлэхээр)
31410000,,1400000,Нээлтийн үлдэгдэл — НӨАТ өглөг
41100000,,50000000,Нээлтийн үлдэгдэл — эздийн өмч
44000001,,29300000,Нээлтийн үлдэгдэл — хуримтлагдсан ашиг
